"DATE","REGION","AGEGROUP","SEX","DEATHS"
"2020-04-07","Wallonia","75-84","M",19
"2020-04-07","Wallonia","75-84","F",12
"2020-04-07","Wallonia","85+","M",18
"2020-04-07","Wallonia","85+","F",36
"2020-04-07","Wallonia",NA,NA,2
"2020-04-08","Flanders","25-44","M",1
"2020-04-08","Flanders","45-64","M",3
"2020-04-08","Flanders","45-64","F",1
"2020-04-08","Flanders","65-74","M",7
"2020-04-08","Flanders","65-74","F",4
"2020-04-08","Flanders","75-84","M",9
"2020-04-08","Flanders","75-84","F",8
"2020-04-08","Flanders","85+","M",11
"2020-04-08","Flanders","85+","F",7
"2020-04-08","Flanders",NA,NA,102
"2020-04-08","Brussels","45-64","F",1
"2020-04-08","Brussels","65-74","M",2
"2020-04-08","Brussels","65-74","F",3
"2020-04-08","Brussels","75-84","M",12
"2020-04-08","Brussels","75-84","F",8
"2020-04-08","Brussels","85+","M",7
"2020-04-08","Brussels","85+","F",17
"2020-04-08","Brussels",NA,NA,5
"2020-04-08","Wallonia","45-64","M",3
"2020-04-08","Wallonia","45-64","F",3
"2020-04-08","Wallonia","65-74","M",6
"2020-04-08","Wallonia","65-74","F",5
"2020-04-08","Wallonia","75-84","M",10
"2020-04-08","Wallonia","75-84","F",23
"2020-04-08","Wallonia","85+","M",26
"2020-04-08","Wallonia","85+","F",36
"2020-04-08","Wallonia",NA,NA,1
"2020-04-09","Flanders","25-44","F",1
"2020-04-09","Flanders","45-64","M",1
"2020-04-09","Flanders","45-64","F",1
"2020-04-09","Flanders","65-74","M",3
"2020-04-09","Flanders","65-74","F",1
"2020-04-09","Flanders","75-84","M",12
"2020-04-09","Flanders","75-84","F",4
"2020-04-09","Flanders","85+","M",13
"2020-04-09","Flanders","85+","F",6
"2020-04-09","Flanders",NA,NA,80
"2020-04-09","Brussels","45-64","M",3
"2020-04-09","Brussels","45-64","F",2
"2020-04-09","Brussels","75-84","M",8
"2020-04-09","Brussels","75-84","F",4
"2020-04-09","Brussels","85+","M",7
"2020-04-09","Brussels","85+","F",16
"2020-04-09","Brussels",NA,NA,1
"2020-04-09","Wallonia","45-64","M",3
"2020-04-09","Wallonia","45-64","F",2
"2020-04-09","Wallonia","65-74","M",13
"2020-04-09","Wallonia","65-74","F",6
"2020-04-09","Wallonia","75-84","M",14
"2020-04-09","Wallonia","75-84","F",13
"2020-04-09","Wallonia","85+","M",20
"2020-04-09","Wallonia","85+","F",38
"2020-04-09","Wallonia",NA,NA,3
"2020-04-10","Flanders","45-64","M",2
"2020-04-10","Flanders","45-64","F",3
"2020-04-10","Flanders","65-74","M",3
"2020-04-10","Flanders","65-74","F",1
"2020-04-10","Flanders","75-84","M",14
"2020-04-10","Flanders","75-84","F",8
"2020-04-10","Flanders","85+","M",7
"2020-04-10","Flanders","85+","F",14
"2020-04-10","Flanders",NA,NA,105
"2020-04-10","Brussels","45-64","M",1
"2020-04-10","Brussels","65-74","M",2
"2020-04-10","Brussels","75-84","M",13
"2020-04-10","Brussels","75-84","F",8
"2020-04-10","Brussels","85+","M",15
"2020-04-10","Brussels","85+","F",10
"2020-04-10","Wallonia","45-64","M",5
"2020-04-10","Wallonia","65-74","M",6
"2020-04-10","Wallonia","65-74","F",8
"2020-04-10","Wallonia","75-84","M",12
"2020-04-10","Wallonia","75-84","F",16
"2020-04-10","Wallonia","85+","M",23
"2020-04-10","Wallonia","85+","F",46
"2020-04-10","Wallonia",NA,NA,1
"2020-04-11","Flanders","45-64","M",2
"2020-04-11","Flanders","45-64","F",1
"2020-04-11","Flanders","65-74","M",2
"2020-04-11","Flanders","75-84","M",12
"2020-04-11","Flanders","75-84","F",6
"2020-04-11","Flanders","85+","M",9
"2020-04-11","Flanders","85+","F",3
"2020-04-11","Flanders",NA,NA,86
"2020-04-11","Brussels","45-64","M",1
"2020-04-11","Brussels","65-74","M",2
"2020-04-11","Brussels","75-84","M",5
"2020-04-11","Brussels","75-84","F",6
"2020-04-11","Brussels","85+","M",9
"2020-04-11","Brussels","85+","F",9
"2020-04-11","Brussels","85+",NA,1
"2020-04-11","Wallonia","45-64","M",6
"2020-04-11","Wallonia","45-64","F",3
"2020-04-11","Wallonia","65-74","M",8
"2020-04-11","Wallonia","65-74","F",9
"2020-04-11","Wallonia","75-84","M",16
"2020-04-11","Wallonia","75-84","F",14
"2020-04-11","Wallonia","85+","M",19
"2020-04-11","Wallonia","85+","F",53
"2020-04-11","Wallonia",NA,NA,1
"2020-04-12","Flanders","45-64","M",4
"2020-04-12","Flanders","45-64","F",1
"2020-04-12","Flanders","65-74","M",1
"2020-04-12","Flanders","65-74","F",1
"2020-04-12","Flanders","75-84","M",9
"2020-04-12","Flanders","75-84","F",3
"2020-04-12","Flanders","85+","M",10
"2020-04-12","Flanders","85+","F",9
"2020-04-12","Flanders",NA,NA,156
"2020-04-12","Brussels","45-64","M",3
"2020-04-12","Brussels","45-64","F",1
"2020-04-12","Brussels","65-74","M",6
"2020-04-12","Brussels","65-74","F",1
"2020-04-12","Brussels","75-84","M",8
"2020-04-12","Brussels","75-84","F",5
"2020-04-12","Brussels","85+","M",5
"2020-04-12","Brussels","85+","F",12
"2020-04-12","Brussels",NA,"M",1
"2020-04-12","Brussels",NA,NA,2
"2020-04-12","Wallonia","45-64","M",4
"2020-04-12","Wallonia","45-64","F",3
"2020-04-12","Wallonia","65-74","M",7
"2020-04-12","Wallonia","65-74","F",2
"2020-04-12","Wallonia","75-84","M",13
"2020-04-12","Wallonia","75-84","F",16
"2020-04-12","Wallonia","85+","M",18
"2020-04-12","Wallonia","85+","F",35
"2020-04-12","Wallonia",NA,"M",1
"2020-04-12","Wallonia",NA,NA,1
"2020-04-13","Flanders","45-64","M",7
"2020-04-13","Flanders","45-64","F",3
"2020-04-13","Flanders","65-74","M",5
"2020-04-13","Flanders","65-74","F",5
"2020-04-13","Flanders","75-84","M",12
"2020-04-13","Flanders","75-84","F",8
"2020-04-13","Flanders","85+","M",11
"2020-04-13","Flanders","85+","F",11
"2020-04-13","Flanders",NA,NA,83
"2020-04-13","Brussels","25-44","M",1
"2020-04-13","Brussels","65-74","M",5
"2020-04-13","Brussels","65-74","F",1
"2020-04-13","Brussels","75-84","M",5
"2020-04-13","Brussels","75-84","F",5
"2020-04-13","Brussels","85+","M",4
"2020-04-13","Brussels","85+","F",11
"2020-04-13","Brussels","85+",NA,1
"2020-04-13","Brussels",NA,NA,2
"2020-04-13","Wallonia","45-64","M",4
"2020-04-13","Wallonia","45-64","F",2
"2020-04-13","Wallonia","65-74","M",8
"2020-04-13","Wallonia","65-74","F",1
"2020-04-13","Wallonia","75-84","M",14
"2020-04-13","Wallonia","75-84","F",19
"2020-04-13","Wallonia","85+","M",17
"2020-04-13","Wallonia","85+","F",24
"2020-04-13","Wallonia",NA,NA,1
"2020-04-14","Flanders","65-74","M",2
"2020-04-14","Flanders","65-74","F",5
"2020-04-14","Flanders","75-84","M",19
"2020-04-14","Flanders","75-84","F",7
"2020-04-14","Flanders","85+","M",11
"2020-04-14","Flanders","85+","F",7
"2020-04-14","Flanders",NA,NA,93
"2020-04-14","Brussels","25-44","M",1
"2020-04-14","Brussels","45-64","M",1
"2020-04-14","Brussels","45-64","F",2
"2020-04-14","Brussels","65-74","M",2
